,HomeTeam,AwayTeam,WinningTeam
397,23,8,8
398,19,26,19
399,11,12,12
400,2,21,2
401,3,22,3
402,25,24,25
403,18,5,5
404,10,4,10
405,1,11,1
406,27,2,27
407,13,0,0
408,7,6,6
409,29,26,26
410,28,18,18
411,19,17,19
412,20,4,20
413,8,16,16
414,12,15,12
415,24,10,10
416,23,22,23
417,9,5,9
418,1,14,14
419,27,17,27
420,3,21,3
421,16,13,16
422,0,29,0
423,6,25,6
424,19,11,19
425,7,8,8
426,20,28,20
427,12,4,12
428,15,18,15
429,2,10,10
430,5,24,5
431,13,26,26
432,7,29,7
433,25,23,23
434,17,21,17
435,9,1,1
436,11,14,14
437,12,28,12
438,0,8,0
439,16,2,16
440,23,3,23
441,19,1,19
442,22,20,20
443,27,24,27
444,13,7,7
445,3,0,3
446,25,29,29
447,4,26,4
448,6,10,6
449,17,9,9
450,11,20,20
451,12,18,18
452,21,14,14
453,15,28,15
454,0,16,16
455,7,23,7
456,15,14,15
457,22,1,1
458,20,18,18
459,13,29,13
460,5,25,25
461,8,9,8
462,19,17,17
463,21,28,28
464,10,12,10
465,16,27,16
466,2,19,19
467,4,7,4
468,24,23,23
469,6,3,6
470,15,11,15
471,20,17,20
472,16,0,0
473,18,3,18
474,26,24,26
475,14,5,14
476,6,7,6
477,28,27,27
478,29,25,25
479,15,8,8
480,23,4,23
481,9,13,9
482,21,11,11
483,12,22,22
484,1,10,10
485,0,19,19
486,20,21,20
487,17,2,17
488,18,14,18
489,22,8,22
490,4,24,24
491,29,6,29
492,26,23,23
493,28,5,28
494,10,13,10
495,12,11,11
496,2,16,16
497,3,7,3
498,21,1,1
499,14,20,14
500,9,15,9
501,0,27,0
502,19,8,19
503,29,4,4
504,25,12,25
505,23,28,23
506,22,11,22
507,27,2,2
508,3,20,20
509,6,0,6
510,26,10,10
511,28,15,28
512,8,5,8
513,9,19,19
514,21,17,21
515,1,13,1
516,16,24,16
517,4,6,4
518,29,12,12
519,14,7,14
520,11,25,11
521,22,18,22
522,1,17,17
523,5,0,0
524,4,10,10
525,24,3,24
526,27,19,19
527,26,16,16
528,29,20,29
529,8,2,2
530,15,13,13
531,23,9,23
532,21,18,18
533,1,25,1
534,6,12,6
535,27,28,28
536,11,17,17
537,22,13,22
538,2,3,3
539,4,5,4
540,7,19,7
541,29,16,29
542,24,20,20
543,18,10,10
544,8,26,8
545,9,23,9
546,21,15,21
547,27,13,13
548,0,12,12
549,5,19,19
550,17,28,17
551,11,21,21
552,22,25,22
553,16,9,9
554,2,0,0
555,3,6,6
556,4,29,4
557,24,14,14
558,8,20,20
559,18,26,18
560,10,25,10
561,15,23,23
562,13,27,27
563,7,16,7
564,28,12,28
565,19,14,19
566,29,24,29
567,25,18,18
568,5,6,5
569,26,3,3
570,17,9,17
571,11,4,11
572,10,2,10
573,8,22,22
574,21,23,23
575,1,15,1
576,14,28,14
577,16,18,16
578,13,26,26
